,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
15191,19-05-010,ЦЕХ 26,1-2606,1987.0,токарный станок с чпу,SHAUBLIN-130 CNC,2019-05-08,на экране: аварийный режим,села батарейка,необходимо закупить,2019-05-08,2019-05-08,8.0,5.0,2019.0,22.0,0 days,Т
15196,19-05-011,ЦЕХ 16,7/281,1988.0,tokaphый п/abtom. с чпу,АТПр-800М,2019-05-13,не включается монитор,перегорел предохранитель,замена предохранителя,2019-05-13,2019-05-13,13.0,5.0,2019.0,21.0,0 days,Т
15197,19-05-014,ЦЕХ 23,5-765,2003.0,вертикально-фрезерный станок с чпу,6M13CH2,2019-05-13,нет готовности блока предохранителя привода,неисправность блока питания,замена блока питания,2019-05-14,2019-05-13,13.0,5.0,2019.0,21.0,1 days,Ф
15198,19-05-012,ЦЕХ 3,6/230,1998.0,установка вакуумная,УППФ-3МД,2019-05-13,отключается,неитсправность токовода,ремонт токовода,2019-05-17,2019-05-13,13.0,5.0,2019.0,21.0,4 days,Г
15199,19-05-013,ЦЕХ 28,3-245,2012.0,универсальный круглошлифовальный станок,Favorit CNC,2019-05-13,заменгить батарейку,неисправность батарейки,замена батарейки,2019-05-14,2019-05-13,13.0,5.0,2019.0,21.0,1 days,Ш
15200,19-05-016,ЦЕХ 28,4-594,2002.0,плоско-шлифовальный станок,ОРША-4080,2019-05-13,нет медлен.подачи стола,неисправна гидравлика,проверено,2019-05-14,2019-05-13,13.0,5.0,2019.0,21.0,1 days,Ш
15201,19-05-015,ЦЕХ 41,5-778,2012.0,центр обрабатывающий верт.фрез.,VF-3,2019-05-13,ошибка 124- разряжена батарейка,треб-ся приобретение батарейки  для озу стойки чпу,проверено,2019-05-14,2019-05-13,13.0,5.0,2019.0,21.0,1 days,Ф
15202,19-05-025,ЦЕХ 28,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-05-14,выдает ошибки,сбой системы электроники чпу,перезагрузка системы чпу,2019-05-15,2019-05-14,14.0,5.0,2019.0,21.0,1 days,А
15203,19-05-017,ЦЕХ 28,5/640,1987.0,beptиk-фpeзep.ct. с чпу,МА-655А2,2019-05-14,выдает ошибку-700024,плохой контакт питания датчика положения,восстановление контакта,2019-05-14,2019-05-14,14.0,5.0,2019.0,21.0,0 days,Ф
15204,19-05-019,ЦЕХ 35,5/720,2003.0,верт.фрезерный с чпу,6M13CH2,2019-05-14,не реагирует на панель управления,силами цеха,устранена неисправн.силами цеха,2019-05-14,2019-05-14,14.0,5.0,2019.0,21.0,0 days,Ф
15205,19-05-020,ЦЕХ 41,4-343,2003.0,заточной станок с чпу,RGX,2019-05-14,гремит-отсоеденилось крепление,сорвало резьбу крепления кронштейна,нарезание резьбы и установка кронштейна,2019-05-14,2019-05-14,14.0,5.0,2019.0,21.0,0 days,И
15206,19-05-022,ЦЕХ 28,4-594,2002.0,плоско-шлифовальный станок,ОРША-4080,2019-05-14,нет медлен.подачи стола,нет реверса стола,"диагностика гидравлики, необходимо смонтировать стол и произвести запуск станка",2019-05-15,2019-05-14,14.0,5.0,2019.0,21.0,1 days,Ш
15207,19-05-023,ЦЕХ 25,5-767,2012.0,токарнный станок с чпу,SPT-32 NC,2019-05-14,демонтаж шпинделя,развалился подшипник,демонтаж шпинделя,2019-05-14,2019-05-14,14.0,5.0,2019.0,21.0,0 days,Т
15208,19-05-018,ЦЕХ 35,5-734,2003.0,фрезерhый стаhок с чпу,CF-22/20,2019-05-14,нет контроля движения по у,треб.замена ремней,диагностика работы станка,2019-05-17,2019-05-14,14.0,5.0,2019.0,21.0,3 days,Ф
15209,19-05-021,ЦЕХ 16,5-211,2002.0,центр вертикальный обрабатывающий,UCP 1350 TNC 426 M,2019-05-14,идет смещение по х и z,обнаружено смещение центра стола во время поворота,диагностика и замеры геометрии,2019-05-15,2019-05-14,14.0,5.0,2019.0,21.0,1 days,А
15210,19-05-024,ЦЕХ 39,5-553,2002.0,эл.эразионный с чпу,ADVANG,2019-05-14,установка и подключение блока управления,сбой в подключении блока,установка блока управления,2019-05-22,2019-05-14,14.0,5.0,2019.0,21.0,8 days,Э
15211,19-05-028,ЦЕХ 26,1-131,2013.0,машина лазерная,МЛП2-002,2019-05-15,замена блока питания,сгорел блок питания,замена блока питания,2019-05-15,2019-05-15,15.0,5.0,2019.0,22.0,0 days,У
15212,19-05-027,ЦЕХ 25,10/125,1986.0,токарно-карусельный ст-к,1512Ф1,2019-05-15,сбой поперечной подачи,выход из строя датчика скорости,ремонт датчика скорости,2019-05-17,2019-05-15,15.0,5.0,2019.0,22.0,2 days,Т
15213,19-05-031,ЦЕХ 23,5-207,2002.0,универсальный фрезерный станок,DMU 60T,2019-05-15,ош е01 (проблема со смазкой),несоответствие смазачных материалов для данной смаз станции,диагностика и ремонт смаз станции,2019-05-16,2019-05-15,15.0,5.0,2019.0,22.0,1 days,А
15214,19-05-029,ЦЕХ 39,5-753,2010.0,центр вертикальный фрезерный обрабатывающий,A-10,2019-05-15,не сбрасывается ош по у,зависла система,перезагрузка,2019-05-16,2019-05-15,15.0,5.0,2019.0,22.0,1 days,Ф
15215,19-05-032,ЦЕХ 39,5-753,2010.0,центр вертикальный фрезерный обрабатывающий,A-10,2019-05-15,люфт,люфт,регулировка клиньев,2019-05-17,2019-05-15,15.0,5.0,2019.0,22.0,2 days,Ф
15216,19-05-033,ЦЕХ 3,5/79,1966.0,эл.эpoзиohh.koпиpob.-пpoшиboчh.ct.,4Б722,2019-05-15,нет прожига,обрыв перемычки в цепи питания,восстановление обрыва,2019-05-17,2019-05-15,15.0,5.0,2019.0,22.0,2 days,Э
15217,19-05-026,ЦЕХ 41,11/29,1992.0,ст-к оптич.профилешлифовальный,3951ВФ1,2019-05-15,периодически выключается,треб.модернизация станка,диагностика работы ст-ка,2019-05-17,2019-05-15,15.0,5.0,2019.0,22.0,2 days,Ш
15218,19-05-030,ЦЕХ 17,1-128,2012.0,установка лазерной резки,Platino 1530F,2019-05-15,режущая головка не двигается,повышен.шум оси z,диагностика работы ст-ка,2019-05-17,2019-05-15,15.0,5.0,2019.0,22.0,2 days,У
15219,19-05-039,ЦЕХ 16,4/94,2001.0,комплекс роботизированный,ТСЗП MF-P-2001,2019-05-16,выкл холодильник,деформация медной трубки,устранение утечки хладогена,2019-05-17,2019-05-16,16.0,5.0,2019.0,18.0,1 days,У
15220,19-05-035,ЦЕХ 22,5-771,2013.0,станок токарный с чпу,MASTURN MT 550i CNC,2019-05-16,не поступает сож в модуль смены инструмента,не было доступа сож в модуль инструмента,"разборка форсунок, очистка и сборка",2019-05-16,2019-05-16,16.0,5.0,2019.0,18.0,0 days,Т
15221,19-05-041,ЦЕХ 39,10/130,2000.0,токарhо-карусельhый  ст-к с чпу,1512Ф3,2019-05-16,на движок не приходит напряжение,нажата кнопка пульта,отпущена кнопка на переносном пульте,2019-05-17,2019-05-16,16.0,5.0,2019.0,18.0,1 days,Т
15222,19-05-034,ЦЕХ 26,1/2499,1989.0,токарhый  с чпу,BKN-100,2019-05-16,нет зажима - разжима инстр-та,разрегулировка торможения п/цилиндра,"ремонт,регулир.узла фиксации детали в патроне шпинделя",2019-05-17,2019-05-16,16.0,5.0,2019.0,18.0,1 days,Т
15223,19-05-040,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-05-16,после удара выход из строя швп,выход из строя швп,замена швп и подшипников оси z,2019-05-24,2019-05-16,16.0,5.0,2019.0,18.0,8 days,Р
15224,19-05-042,Управление главного механика,2-157,2005.0,установка для регенерации воды,WSC-4000,2019-05-16,неисправен индикатор давления,неисправен индикатор давления,замена и настройка индикатора,2019-05-16,2019-05-16,16.0,5.0,2019.0,18.0,0 days,Ж
15225,19-05-038,ЦЕХ 8,5-774,2013.0,центр токарный обрабатывающий с чпу,DZ65-ARY,2019-05-16,ош 7079,сбой параметров чпу,восстановление параметров,2019-05-16,2019-05-16,16.0,5.0,2019.0,18.0,0 days,Т
15226,19-05-036,ЦЕХ 39,10/131,1999.0,станок,1Е516ПФ2Н,2019-05-16,"ош 700000, на мониторе ср",сгорел входной предохранитель,необходима замена,2019-05-16,2019-05-16,16.0,5.0,2019.0,18.0,0 days,Т
15227,19-05-037,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-05-16,удар по z,выход из строя швп оси z,необходим ремонт швп после удара,2019-05-16,2019-05-16,16.0,5.0,2019.0,18.0,0 days,Р
15228,19-05-043,ЦЕХ 17,5/824,1983.0,ctehд д/abtomat.cbapkи mmпo caлюt,З-Д САЛЮТ,2019-05-17,не работает,неисправность эл блоков,ремонт эл блоков,2019-05-22,2019-05-17,17.0,5.0,2019.0,18.0,5 days,З
15229,19-05-049,ЦЕХ 41,4-65,1982.0,координатно-расточной станок,МР42DR,2019-05-17,не работ.система пневмоблока шпинделя,заклинен клапан регулятора,переборка регулятора воздуха уравновешивателя шпинделя,2019-05-17,2019-05-17,17.0,5.0,2019.0,18.0,0 days,А
15230,19-05-044,ЦЕХ 25,5-747,2002.0,станок токарный с чпу,NG200,2019-05-17,сбой привода,выход из позиции нижней головы,выставлена нижняя голова в позицию,2019-05-17,2019-05-17,17.0,5.0,2019.0,18.0,0 days,Т
15231,19-05-048,ЦЕХ 25,5-766,2012.0,токарнный станок с чпу,SPT-32 NC,2019-05-17,не запускается по программе,сбой привода,ремонт эл.автоматики,2019-05-17,2019-05-17,17.0,5.0,2019.0,18.0,0 days,Т
15232,19-05-045,ЦЕХ 25,5-765,2012.0,токарнный станок с чпу,SPT-32 NC,2019-05-17,конусит задняя бабка,сбой работы задн.бабки,выставлена звдн.бабка,2019-05-23,2019-05-17,17.0,5.0,2019.0,18.0,6 days,Т
15233,19-05-047,ЦЕХ 26,1-2606,1987.0,токарный станок с чпу,SHAUBLIN-130 CNC,2019-05-17,замена батарейки,неисправность батарейки-сброс данных,"восстановление данных,запуск контроллера",2019-05-17,2019-05-17,17.0,5.0,2019.0,18.0,0 days,Т
15234,19-05-046,ЦЕХ 20,5-547,2001.0,электроэрозионный станок,S-26,2019-05-17,"не работ.кнопка ""пуск""",неисправность кнопки,замена кнопки,2019-05-23,2019-05-17,17.0,5.0,2019.0,18.0,6 days,Э
15235,19-05-050,ЦЕХ 20,5/515,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-05-18,выдает ошибку-не работает,сработал автомат тонкой правки,включение автомата,2019-05-18,2019-05-18,18.0,5.0,2019.0,21.0,0 days,Ш
15237,19-05-054,ЦЕХ 41,5-728,2002.0,tokaphый ctанок с чпу,SL-20T,2019-05-20,замена резцедержателя,неисправность патрона,замена патрона,2019-05-27,2019-05-20,20.0,5.0,2019.0,22.0,7 days,Т
15238,19-05-057,ЦЕХ 19,5/605,1989.0,п/автом. токарный патрон. с чпу,1П756ДФ321,2019-05-20,сбой по z,сбой раб-ты,восстановление работы оси,2019-05-23,2019-05-20,20.0,5.0,2019.0,22.0,3 days,Т
15239,19-05-056,ЦЕХ 19,9/71,1985.0,резьбошлифовальhый ст-к,NRK,2019-05-20,н/р насос станции охл-ния сож,выход из строя уплотнения,диагностика и ремонт уплотнительного узла насоса перекачки сож,2019-05-20,2019-05-20,20.0,5.0,2019.0,22.0,0 days,Ш
15240,19-05-055,ЦЕХ 28,5-764,2002.0,станок вертикально-фрезерный с чпу,100 CNC,2019-05-20,установка подшипников,выход из строя швп,замена швп по оси у,2019-05-23,2019-05-20,20.0,5.0,2019.0,22.0,3 days,Ф
15241,19-05-059,ЦЕХ 17,3-656,2002.0,эл.печь вакуумная,VVFS-48X48,2019-05-20,не закрывается задвижка,выход из строя блока подготовки воздуха,диагностика и ремонт п/схемы,2019-05-21,2019-05-20,20.0,5.0,2019.0,22.0,1 days,Г
15242,19-05-051,ЦЕХ 20,5/515,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-05-20,демонтаж шпинделя правящего ролика,выход из строя подшипников шпинделя,шпиндель демонтирован для дальнейшего ремонта,2019-05-20,2019-05-20,20.0,5.0,2019.0,22.0,0 days,Ш
15243,19-05-058,ЦЕХ 41,8-139,2002.0,станок резьбошлифовальный с чпу,RG-500,2019-05-20,н/р насос охл жидкости,нет охлаждения сист.сож,диагностика работы ст-ка,2019-05-23,2019-05-20,20.0,5.0,2019.0,22.0,3 days,Ш
15244,19-05-053,ЦЕХ 41,5-105,1989.0,уhиверсальhо-заточhой ст-к с чпу,ГЦ-6,2019-05-20,диагностика привода оси у,вышел из строя привод,диагностика,2019-05-22,2019-05-20,20.0,5.0,2019.0,22.0,2 days,И
15245,19-05-052,ЦЕХ 41,5-595,2003.0,шлифовальный ст-к с чпу,PRECIMAT 306,2019-05-20,уст-ка блока привода по z,передано на испытание технич.точности,ремонт эл.двигателя,2019-05-23,2019-05-20,20.0,5.0,2019.0,22.0,3 days,Ш
15246,19-05-062,ЦЕХ 28,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-05-21,изменение меню пользователя,изменение меню пользователя,восстановление меню пользователя,2019-05-21,2019-05-21,21.0,5.0,2019.0,25.0,0 days,А
15247,19-05-064,ЦЕХ 20,5/515,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-05-21,монтаж шпинделя правящего ролика,выход из строя подшипников шпинделя правки,"ремонт шпинделя в бппр, установка шпинделя и выставка его на станке",2019-05-22,2019-05-21,21.0,5.0,2019.0,25.0,1 days,Ш
15248,19-05-060,ЦЕХ 16,7/290,1988.0,tokaphый п/abtom. с чпу,АТПр-800М,2019-05-21,рег-ка смены инструмента,сбой работы,регулировка руки смены инстр-та,2019-05-23,2019-05-21,21.0,5.0,2019.0,25.0,2 days,Т
15249,19-05-063,ЦЕХ 41,4-343,2003.0,заточной станок с чпу,RGX,2019-05-21,отказ работы датчика оси с,выход из строя датчика,ремонт датчика оси z,2019-05-23,2019-05-21,21.0,5.0,2019.0,25.0,2 days,И
15250,19-05-066,ЦЕХ 25,5-784,1988.0,токарный станок с чпу,SPT-32 NC,2019-05-21,н/р,"скачок напряжения, сбой программы",перезапись программы,2019-05-22,2019-05-21,21.0,5.0,2019.0,25.0,1 days,Т
15251,19-05-065,ЦЕХ 20,4-865,2011.0,установка,ВНА 500-30,2019-05-21,перебои в работе насоса высокого давления,загрязнение фильтров,диагностика схем прокачки раб.ж-ти,2019-05-31,2019-05-21,21.0,5.0,2019.0,25.0,10 days,Ж
15252,19-05-061,ЦЕХ 15,3-638,2000.0,вакуумная печь,FRVOQ PC 36*36,2019-05-21,переливает воду,по электроники неисправности не найдено,проверено,2019-05-23,2019-05-21,21.0,5.0,2019.0,25.0,2 days,Г
15253,19-05-067,ЦЕХ 41,2-234,1980.0,координатно-шлифовальный станок,5SM,2019-05-22,выкл шпиндель,окисление контактов,очистка щеточного узла шпинделя,2019-05-23,2019-05-22,22.0,5.0,2019.0,26.0,1 days,Ш
15254,19-05-070,ЦЕХ 41,5/532,2001.0,электроэрозионный станок,EVOLITION-2,2019-05-22,ош: недостаток сжатого воздуха,нет разхъемного контакта датчика,восстановление контакта,2019-05-27,2019-05-22,22.0,5.0,2019.0,26.0,5 days,Э
15255,19-05-068,ЦЕХ 25,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-05-22,греется шпиндель,хол-к не справляется с охлаждение охл жидкости,необходимо привлечь спц-тов по хол оборудованию,2019-05-22,2019-05-22,22.0,5.0,2019.0,26.0,0 days,А
15256,19-05-069,ЦЕХ 19,8-151,2012.0,станок зубошлифовальный с чпу,G 30,2019-05-22,ош драйвера,передано на ходовое испытание,ремонт эл.автоматики оси с2,2019-05-23,2019-05-22,22.0,5.0,2019.0,26.0,1 days,Ш
15257,19-05-078,ЦЕХ 20,5-609,2012.0,профилешлифовальный центр пятиосевой с чпу,MFP-050.65.65,2019-05-23,ось а не видит разворота стола,сбой конфиг.привода оси а,восстановление конфигурайии привода по оси а,2019-05-24,2019-05-23,23.0,5.0,2019.0,24.0,1 days,Ш
15258,19-05-077,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-05-23,подключение ст-ка,ст-к после ремонта оси z,подключение станка,2019-05-24,2019-05-23,23.0,5.0,2019.0,24.0,1 days,Р
15259,19-05-071,ЦЕХ 25,5/659,2000.0,токарный обрабатывающий центр с чпу,VDF 180Cte,2019-05-23,ош.-нет смазки центролиз.станции,западение штока р21-0,прочистка штока реле давления,2019-05-23,2019-05-23,23.0,5.0,2019.0,24.0,0 days,Т
15260,19-05-074,ЦЕХ 20,6/471,1986.0,уст-ка д/ионноплазменного напыления,МАП-1,2019-05-23,нет стабильного напряжения на блоке смещения,загрязнение камеры блока смещения,диагностика блока смещения,2019-05-28,2019-05-23,23.0,5.0,2019.0,24.0,5 days,У
15261,19-05-076,ЦЕХ 16,4/101,1950.0,элektpo-cbapoчhaя maшиha toчeчhaя,МТП-75-6,2019-05-23,вышел из строя регулятор времени ркм-803,неиспраность микропроцессорного блока,ремонт блока,2019-05-29,2019-05-23,23.0,5.0,2019.0,24.0,6 days,У
15262,19-05-073,ЦЕХ 20,5-614,2011.0,электроэрозионный станок,HSDA5-111,2019-05-23,прожигает,неисправность  генератора,настройка генератора,2019-05-27,2019-05-23,23.0,5.0,2019.0,24.0,4 days,Э
15263,19-05-075,ЦЕХ 3,5/192,1975.0,электроэрозионный станок,4Д722В,2019-05-23,пригорают электроды,неисправность сил.блоков,рем-т силовых блоков и подбор оптимал.раб.регламента ст-ка,2019-05-24,2019-05-23,23.0,5.0,2019.0,24.0,1 days,Э
15264,19-05-072,ЦЕХ 16,9/822,1985.0,источник питания,ИСВУ-315,2019-05-23,не стабильная дуга,неисправен силовой пускатель,диагностика работы ист.питания,2019-05-27,2019-05-23,23.0,5.0,2019.0,24.0,4 days,Э
15265,19-05-080,ЦЕХ 20,5/515,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-05-24,выставить шпиндель,выход из строя подшипников,монтаж и выставка шпинделя,2019-05-27,2019-05-24,24.0,5.0,2019.0,18.0,3 days,Ш
15266,19-05-079,ЦЕХ 20,5-609,2012.0,профилешлифовальный центр пятиосевой с чпу,MFP-050.65.65,2019-05-24,ошибка по оси а,заяка повторная,повтоно /есть заявка №78/,2019-05-24,2019-05-24,24.0,5.0,2019.0,18.0,0 days,Ш
15267,19-05-081,ЦЕХ 39,2-262,2001.0,станок координатно-шлифовальный,S-55,2019-05-24,монтаж силового  модуля,вместо неисправной замена на новую плату,монтаж платы питания и запуск ст-ка,2019-05-27,2019-05-24,24.0,5.0,2019.0,18.0,3 days,Ш
15270,19-05-082,ЦЕХ 19,5/527,1986.0,tokaphый п/abtom. с чпу,SPT 16 NC,2019-05-27,гидрозажим патрона,выход из строя уплотнений,ремонт г/цилиндра фиксации детали,2019-05-28,2019-05-27,27.0,5.0,2019.0,21.0,1 days,Т
15271,19-05-086,ЦЕХ 41,4-343,2003.0,заточной станок с чпу,RGX,2019-05-27,остановка по шпинделю,слетели параметры,настройка параметров,2019-05-27,2019-05-27,27.0,5.0,2019.0,21.0,0 days,И
15272,19-05-089,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2019-05-27,не выход.в корайнее положение,сбой электро и электрон.схем,диагностика схем станка,2019-05-28,2019-05-27,27.0,5.0,2019.0,21.0,1 days,И
15273,19-05-088,ЦЕХ 20,5-616,2011.0,электроэрозионный станок,AQ-750L,2019-05-27,не раб.устр-во заправки проволоки,"загрязнение щеток,оликов",проверка мех-зма измельчения проволоки,2019-05-28,2019-05-27,27.0,5.0,2019.0,21.0,1 days,Э
15274,19-05-084,ЦЕХ 3,5-542,2001.0,электроэрозионный станок с чпу,P46+E60,2019-05-27,самопроизвольное отключение,н/р плата рсв6,ремонт платы,2019-06-04,2019-05-27,27.0,5.0,2019.0,21.0,8 days,Э
15275,19-05-085,ЦЕХ 20,5-612,2003.0,электроэрозионный станок с чпу,HSD6-GT,2019-05-27,выход из строя генератора,неисправность генератора,ремонт генератора,2019-05-28,2019-05-27,27.0,5.0,2019.0,21.0,1 days,Э
15276,19-05-087,ЦЕХ 19,5/507,1985.0,tokaphый п/abtom. с чпу,1П756ДФ101,2019-05-27,сборка геркона по верхн.револьв.голове,нет посадки,установка кольца,2019-05-27,2019-05-27,27.0,5.0,2019.0,21.0,0 days,Т
15277,19-05-083,ЦЕХ 20,5/537,1987.0,полуавтомат специализированный плоскопрофилешлифовальный,SLS 221 CNC,2019-05-27,отключается станция сож,треб.профилактика двигателя,диагностика-выдает ош.перегрузка бл.упр-я двигателя правящ.ролика,2019-05-27,2019-05-27,27.0,5.0,2019.0,21.0,0 days,Ш
15278,19-05-090,ЦЕХ 19,8-147,2002.0,станок зубошлифовальный с чпу,G 30,2019-05-27,сбой системы загрузки,поврежден файл l параметров-треб.вызов ф-мы,диагностика работы ст-ка,2019-05-27,2019-05-27,27.0,5.0,2019.0,21.0,0 days,Ш
15279,19-05-101,ЦЕХ 3,5/455,1986.0,ct.эл.эpoзиоhhый koпиpob.-пpoшиb. с чпу,4Е-723.01Ф1,2019-05-28,отключается,вышел из строя выкл глубины прошивки,замена выключателя,2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Э
15280,19-05-095,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-05-28,не садится рев.голова,нарушена наладка рев головки,наладка рев головки,2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Р
15281,19-05-091,ЦЕХ 5,5/651,1999.0,токарhый  с чпу,TCE 500,2019-05-28,не авход.в 0 по продольн.оси,нарушение контакта,восстановление контакта в разъеме,2019-05-28,2019-05-28,28.0,5.0,2019.0,27.0,0 days,Т
15282,19-05-094,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-05-28,люфт по z,ослаблена гайка крепления подшипников узла по оси z,устранение люфта в швп по оси z,2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Р
15283,19-05-099,ЦЕХ 16,5-211,2002.0,центр вертикальный обрабатывающий,UCP 1350 TNC 426 M,2019-05-28,при повороте стола-смещение по х и z,несоосность вращения оси стола к базовому отверстию стола,"необходимо изготовить кольцо, расточить столом станка",2019-05-30,2019-05-28,28.0,5.0,2019.0,27.0,2 days,А
15284,19-05-100,ЦЕХ 20,5-560,2003.0,электроэрозионный станок,HSD6-11,2019-05-28,г/аккумулятор не поддерживает давление в системе,выход из строя (разрадка) г/аккумулятора,диагностика и зарядка г/аккумулятора,2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Э
15285,19-05-097,ЦЕХ 20,5-623,2014.0,электроискровой проволочно-вырезной станок,ONA AF 60,2019-05-28,установка оптическ.линейки,неисправна линейка,замена линейки,2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Э
15286,19-05-093,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-05-28,инструмент не ставится в рабочее положение,голова не садится,проверено,2019-05-28,2019-05-28,28.0,5.0,2019.0,27.0,0 days,Р
15287,19-05-096,ЦЕХ 20,5/537,1987.0,полуавтомат специализированный плоскопрофилешлифовальный,SLS 221 CNC,2019-05-28,выдает ошибку,появляется ош на электронном блоке управления правящим роликом,"диагностика, необходимо проверить мотор",2019-05-29,2019-05-28,28.0,5.0,2019.0,27.0,1 days,Ш
15288,19-05-098,ЦЕХ 23,5-711,2001.0,спец.фрезерный с чпу,А-750,2019-05-28,установка нового двигателя,треб.организовать работы по монтажу движка,бмиг не устанавливают двигатели,2019-05-28,2019-05-28,28.0,5.0,2019.0,27.0,0 days,Ф
15289,19-05-092,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-05-28,по z маховик не реагирует на датчик,люфт по z- 6мм,проверено,2019-05-28,2019-05-28,28.0,5.0,2019.0,27.0,0 days,Р
15290,19-05-105,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2019-05-29,не проходит сигнал на люнет,нет подачи задней бабки,рег-ка концевых выкл,2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Т
15291,19-05-102,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2019-05-29,"не запускается, ош 2019",неисправен датчик давления люнета,восстановление работоспособности,2019-05-29,2019-05-29,29.0,5.0,2019.0,29.0,0 days,Т
15292,19-05-104,ЦЕХ 43,5-242,2012.0,обрабатывающий центр фрезерный,KX 100EVO2,2019-05-29,неисправна работа г/системы,разрегулировка г/станции,диагностика и рег-ка г/станции,2019-05-29,2019-05-29,29.0,5.0,2019.0,29.0,0 days,А
15293,19-05-115,ЦЕХ 14,5-589,2004.0,станок высокоскоростной для шлифования законцовок лопаток с чпу,DANTIP R3-1500/2000,2019-05-29,отказ гидравлики зажимного патрона,закусывание заготовки вызвано задирами нафиксирующем диаметре патрона,"удаление задиров с мембраны патрона, промывка г/каналов патрона, заправка системы маслом",2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Ш
15294,19-05-114,ЦЕХ 41,8-139,2002.0,станок резьбошлифовальный с чпу,RG-500,2019-05-29,перегрев масла и станок выкл,,,2019-06-04,2019-05-29,29.0,5.0,2019.0,29.0,6 days,Ш
15295,19-05-106,ЦЕХ 3,6/230,1998.0,установка вакуумная,УППФ-3МД,2019-05-29,невкл тпч,нет настройки тпчт,настройка тпчт,2019-05-29,2019-05-29,29.0,5.0,2019.0,29.0,0 days,Г
15296,19-05-103,ЦЕХ 35,5-734,2003.0,фрезерhый стаhок с чпу,CF-22/20,2019-05-29,"хлопок в шкафу, ст-к вырубился, запах без дыма",вышел из строя силовой модуль оси z,замена на новый,2019-06-03,2019-05-29,29.0,5.0,2019.0,29.0,5 days,Ф
15297,19-05-108,ЦЕХ 20,5-560,2003.0,электроэрозионный станок,HSD6-11,2019-05-29,нет команды на насос высокого давления,выход из строя поворотного п/клапана,диагностика и ремонт п/схемы,2019-05-29,2019-05-29,29.0,5.0,2019.0,29.0,0 days,Э
15298,19-05-113,ЦЕХ 3,5/454,1986.0,электроэрозионный станок,4Е-723.01Ф1,2019-05-29,не вкл,выход из строя контактора,замена контактора к2силовой части генератора,2019-05-31,2019-05-29,29.0,5.0,2019.0,29.0,2 days,Э
15299,19-05-107,ЦЕХ 28,2-244,1975.0,координатно-шлифовальный станок,5SM,2019-05-29,не вкл,вышел из строя блок привода шпинделя,"диагностика, необходим ремонт модуля привода",2019-05-29,2019-05-29,29.0,5.0,2019.0,29.0,0 days,Ш
15300,19-05-112,ЦЕХ 25,5/659,2000.0,токарный обрабатывающий центр с чпу,VDF 180Cte,2019-05-29,ош: нет давления централизованной смазки,вышла из строя станция смазки,"диагностика, необходима замена",2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Т
15301,19-05-110,ЦЕХ 25,5/659,2000.0,токарный обрабатывающий центр с чпу,VDF 180Cte,2019-05-29,нет давления централизованной смазки,вышла из строя станция смазки,"диагностика, необходима замена",2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Т
15302,19-05-109,ЦЕХ 15,6-249,2017.0,холодильная камера,FSK3-150-0528-0528-G-B,2019-05-29,не набирает нужную температуру,не запускается вентилятор,диагностика,2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Я
